Mexico,11643298,77644,
India,2389639,31113,
China,2065431,33869,
Philippines,1982369,30007,
El Salvador,1352357,31379,
Vietnam,1300515,27733,
Cuba,1210674,23840,
Dominican Republic,1063239,28770,
Korea,1060019,20054,
Guatemala,927593,23812,
Canada,830628,17129,
Jamaica,711134,19231,
Colombia,699399,20772,
Haiti,675546,22289,
Honduras,599030,25695,
Germany,585298,12124,
Peru,445921,17981,
Ecuador,441257,19017,
Poland,419332,12547,
Iran,394223,14189,
Russia,386529,13859,
Pakistan,379435,17427,
Taiwan,377893,12637,
Brazil,361374,15675,
Italy,352492,11766,
Ukraine,345620,11934,
Japan,335767,11198,
Nigeria,323635,18271,
England,319734,9589,
United Kingdom ( excluding England and Scotland),310243,9571,
Guyana,281408,12349,
Nicaragua,256171,12391,
Venezuela,255520,13320,
Thailand,247205,10349,
Hong Kong,233373,7808,
Ethiopia,228745,13680,
Bangladesh,228682,14479,
Trinidad and Tobago,227295,8816,
Iraq,215193,13794,
Laos,197016,9812,
Egypt,185872,11556,
Argentina,181233,9339,
Portugal,176803,8390,
France,173561,8607,
Cambodia,166268,9301,
Romania,159546,7917,
Ghana,155532,10846,
Greece,141325,6452,
Burma,137567,10011,
Kenya,129905,10130,
Israel,129680,6876,
Nepal,120886,8823,
Ireland,120144,6262,
Lebanon,119613,8361,
Turkey,116336,8283,
Australia and New Zealand Subregion,113277,6339,
Africa (n.e.c),110075,9089,
Spain,108953,6903,
Bosnia and Herzegovina,107969,9021,
Panama,103625,5810,
Saudi Arabia,96783,8403,
Chile,95104,6986,
Indonesia,90833,7010,
Costa Rica,90109,5646,
Albania,89744,9135,
Somalia,89153,7277,
Netherlands,88580,6180,
Armenia,86217,6658,
Australia,83573,5527,
Oceania(n.e.c.),83450,6289,
Syria,82681,6286,
Jordan,81767,8063,
Liberia,79497,7804,
Bolivia,78093,6898,
Morocco,71654,5503,
Afghanistan,70653,6928,
Hungary,70255,5330,
Malaysia,69308,5119,
Bulgaria,67377,5183,
Czechoslovakia (includes Czech Republic and Slovakia),66631,5112,
Uzbekistan,65375,5987,
Belarus,56958,5339,
Scotland,53496,3645,
Sri Lanka,52971,5613,
Barbados,51739,4829,
Cameroon,51172,7568,
Belize,48811,5371,
Asia(n.e.c),48538,4922,
Sweden,46335,3628,
Sudan,46037,6708,
Yemen,44337,6088,
Uruguay,43971,5051,
Moldova,43564,5058,
Austria,43401,3026,
Cabo Verde,43352,5264,
Sierra Leone,42065,5812,
Fiji,41936,4822,
Eritrea,39063,5274,
Switzerland,37115,3317,
Croatia,36978,3546,
Serbia,36969,4673,
Singapore,36252,3382,
Bahamas,34796,3735,
Belgium,34232,2938,
West Indies,33011,4485,
Dominica,32370,4110,
Kuwait,31781,3643,
Lithuania,31458,3872,
Grenada,29982,3185,
Kazakhstan,29859,3389,
Denmark,29039,2609,
Azores Islands,27072,3439,
Macedonia,26277,4621,
Norway,24982,2645,
St. Vincent and the Grenadines,22950,2820,
Latvia,21364,2476,
Europe (n.e.c),11497,2703,